,val_loss,loss
0,0.003958249369740467,0.0006910451179442941
1,0.002006983749652136,0.0008801297764942912
2,0.0033038041770889017,0.0006645841192275814
3,0.0036928230858279676,0.0004914208006768879
4,0.0034391875677404946,0.0005455263115257908
5,0.005620907411260608,0.0006047161062149065
6,0.007858869608298846,0.0005349089065441619
7,0.006424077292952764,0.0005170645401400648
8,0.0033090967443361783,0.0006732120893549774
9,0.01036745234857032,0.001132568047693078
10,0.00891121429898097,0.0012702207848745847
11,0.007010054156732319,0.0010438776079225096
12,0.00264859525183662,0.0007202022379208963
13,0.00039021488722331316,0.00042448681381994656
14,0.000977129767761653,0.00020263735469816933
15,0.0011219717284802755,8.280449506618161e-05
16,0.000852791892005674,4.2633664975504873e-05
17,0.000642400006427124,4.7734521908079194e-05
18,0.00046893651847312867,3.435260723240292e-05
19,0.0003358672574904631,3.484389208017382e-05
20,0.00024004217751401788,3.0055739717250696e-05
21,0.0001700023559199811,2.8930910800670923e-05
22,0.00012215289780215244,2.70110434630241e-05
23,8.969339728537307e-05,2.5909146505284428e-05
24,6.903769857065829e-05,2.4892273184757288e-05
25,5.6548313485412414e-05,2.4108999095002266e-05
26,4.9614497773594245e-05,2.3443970473138787e-05
27,4.616570997010664e-05,2.2870723833667937e-05
28,4.468353525529286e-05,2.2350451148710337e-05
29,4.4083654491563116e-05,2.185418962218774e-05
30,4.3640385986994566e-05,2.1357628150712058e-05
31,4.292632172564481e-05,2.0844013165138412e-05
32,4.1777362829028185e-05,2.0305590952199657e-05
33,4.026489739317185e-05,1.9747732367585067e-05
34,3.862886626393447e-05,1.9189365276747426e-05
35,3.7137809025959236e-05,1.8659445849830923e-05
36,3.5931177914487e-05,1.8186976633833106e-05
37,3.497726341568826e-05,1.77894693942096e-05
38,3.416837182612653e-05,1.7467677067174042e-05
39,3.3425187704475924e-05,1.7210055027184282e-05
40,3.2726689350207984e-05,1.7001572349564134e-05
41,3.2091477104737955e-05,1.6830724314695583e-05
42,3.154532053410245e-05,1.669308449858808e-05
43,3.109218527204879e-05,1.6591445176771027e-05
44,3.069981701742108e-05,1.6534497762314705e-05
45,3.031635815394414e-05,1.6534786364600912e-05
46,2.9930221141209284e-05,1.6605847554084683e-05
47,2.9661049580909093e-05,1.6758127459356923e-05
48,2.9837055109283028e-05,1.6995103756497225e-05
49,3.100036590808486e-05,1.731151476137769e-05
